generation,N_shifts,logPrior,logLik,eventRate,acceptRate
20400000,3,-33.7975,-95.381,2.55841,0.536
20500000,1,-15.3397,-99.7745,0.665503,0.56
20600000,1,-18.5212,-103.58,2.24295,0.493
20700000,3,-35.0424,-96.7918,0.873575,0.554
20800000,6,-61.9111,-94.3003,5.12508,0.584
20900000,2,-23.1139,-96.676,0.862764,0.535
21000000,2,-24.3334,-100.477,1.42518,0.445
21100000,2,-24.6264,-102.068,0.673512,0.487333
21200000,1,-16.3774,-98.2262,1.48721,0.544
21300000,1,-15.8554,-99.074,0.658997,0.483
21400000,2,-27.1832,-95.5727,1.58209,0.513
21500000,2,-25.2795,-103.879,2.22889,0.519714
21600000,1,-14.934,-104.801,0.511846,0.461
21700000,2,-22.9578,-99.1342,0.450811,0.539333
21800000,5,-54.6206,-91.9864,3.30688,0.5359
21900000,3,-30.2569,-95.9478,0.912879,0.55
22000000,1,-15.6531,-99.891,0.426662,0.602
22100000,1,-18.6414,-102.315,1.62883,0.55
22200000,1,-16.9318,-102.121,2.02905,0.544462
22300000,2,-25.5143,-102.175,1.32909,0.5298
22400000,4,-43.6542,-98.9191,1.976,0.603
22500000,1,-16.078,-103.612,1.88927,0.465667
22600000,2,-22.9895,-98.2346,1.91856,0.534
22700000,1,-15.8419,-101.925,1.54174,0.511
22800000,4,-42.9346,-96.1385,2.01311,0.577
22900000,1,-14.8875,-103.513,0.689086,0.502833
23000000,2,-24.8979,-101.278,3.21135,0.555
23100000,1,-15.9746,-100.324,1.83002,0.492
23200000,1,-16.0633,-99.144,1.63654,0.516
23300000,1,-16.2946,-102.131,1.1168,0.49
23400000,2,-21.9281,-98.1909,0.557246,0.534344
23500000,4,-40.2201,-93.0134,1.37983,0.501875
23600000,1,-15.195,-105.293,1.21486,0.511
23700000,1,-17.8085,-104.911,3.50276,0.516
23800000,2,-26.351,-100.62,1.28495,0.537333
23900000,4,-42.1951,-90.3793,3.08953,0.522667
24000000,5,-58.0582,-99.477,2.12577,0.555895
24100000,2,-26.2822,-96.1826,1.40199,0.55355
24200000,2,-22.7639,-100.657,1.21833,0.494
24300000,1,-17.1524,-100.278,2.53215,0.488
24400000,1,-14.5321,-100.658,0.108486,0.55
24500000,2,-29.1278,-99.1507,2.23256,0.55
24600000,5,-48.7166,-79.1406,3.87544,0.555
24700000,2,-25.2259,-92.4855,1.25463,0.446
24800000,2,-24.8281,-98.3759,2.10162,0.5358
24900000,6,-58.5332,-84.7353,5.84008,0.5595
25000000,5,-53.9083,-88.2037,2.19786,0.534
25100000,4,-39.1863,-99.7634,1.99053,0.527
25200000,1,-15.8064,-97.4787,0.740468,0.523
25300000,1,-14.3211,-101.125,0.29391,0.476
25400000,3,-36.2412,-99.0731,1.75021,0.568
25500000,1,-15.3188,-97.5905,0.545296,0.517667
25600000,1,-16.4243,-104.438,2.44401,0.5595
25700000,7,-65.9097,-83.7084,1.85592,0.515222
25800000,3,-32.3765,-96.7744,1.4184,0.547211
25900000,2,-22.0556,-94.6618,0.554279,0.458
26000000,1,-15.1405,-99.1735,1.1444,0.550222
26100000,6,-58.7085,-85.9832,2.9599,0.499
26200000,1,-15.4138,-102.125,0.860362,0.536
26300000,1,-15.815,-104.602,1.84632,0.513
26400000,2,-25.3484,-94.0544,1.30579,0.501857
26500000,5,-55.1822,-93.956,4.40685,0.535857
26600000,2,-26.5482,-100.499,1.15777,0.5605
26700000,1,-15.3927,-106.866,0.295122,0.545
26800000,5,-55.2042,-89.6714,2.06103,0.522
26900000,3,-34.252,-97.908,2.31596,0.524
27000000,5,-50.4059,-94.6627,3.06011,0.557
27100000,1,-17.8715,-102.852,2.55108,0.467
27200000,3,-32.5778,-99.1007,1.53567,0.51
27300000,1,-14.9763,-104.034,0.326226,0.517
27400000,2,-23.3032,-96.6052,0.339584,0.518
27500000,1,-15.9421,-103.281,0.515222,0.491
27600000,3,-37.5647,-92.9365,4.33023,0.502
27700000,1,-14.6311,-98.8176,0.543406,0.541455
27800000,1,-14.4993,-100.462,0.409329,0.5141
27900000,1,-18.6283,-102.958,3.76898,0.538
28000000,2,-28.9177,-96.1352,4.73923,0.548
28100000,1,-18.367,-102.734,2.49748,0.537
28200000,4,-43.6835,-93.0046,2.84372,0.621
28300000,3,-33.3346,-105.095,3.74515,0.523
28400000,1,-15.2983,-101.032,0.147617,0.542
28500000,1,-15.6595,-99.8493,0.86326,0.4944
28600000,5,-52.8256,-89.8859,2.59137,0.5386
28700000,2,-26.2409,-103.286,1.13973,0.52365
28800000,3,-35.8055,-98.1055,2.78093,0.505333
28900000,3,-33.5821,-100.31,2.87718,0.552
29000000,1,-15.0365,-97.971,0.216959,0.536
29100000,2,-23.3313,-92.5428,2.0505,0.515111
29200000,2,-23.7906,-101.991,1.15075,0.479
29300000,5,-51.9117,-97.0269,4.1917,0.581
29400000,2,-21.7879,-97.9745,0.680746,0.578
29500000,2,-24.5921,-99.6079,2.39248,0.51525
29600000,2,-24.2054,-96.9937,1.65341,0.5045
29700000,3,-31.359,-94.5633,0.773499,0.538
29800000,2,-23.9151,-93.5373,1.01272,0.514
29900000,1,-16.287,-104.186,0.365812,0.541
30000000,4,-40.6711,-96.3263,0.883415,0.599
