generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
2800000,Hydroptilidae,Micropterigidae,0,2.60481,0.245671,0.416916,0
2800000,Roeslerstammiidae,NA,2.96639,9.5619,0.131297,46.4383,0
2800000,Andesianidae,NA,2.31766,1.6629,-0.380127,4.36196,0
2800000,Roeslerstammiidae,Urodidae,1.78982,14.5865,-0.69567,1.31642,0
2900000,Hydroptilidae,Micropterigidae,0,3.13525,-0.0229975,0.322802,0
2900000,Micropterigidae,NA,0.540154,9.84783,-0.219547,6.86068,0
2900000,Psychidae,NA,1.91682,3.22178,-0.137687,2.59715,0
2900000,Tineidae,NA,2.83106,33.9391,-0.470241,10.4105,0
2900000,Notodontidae,Erebidae,2.28853,12.2696,-0.446467,0.583369,0
2900000,Roeslerstammiidae,Urodidae,1.73125,15.0841,-0.759863,0.543253,0
3000000,Hydroptilidae,Micropterigidae,0,2.58798,0.104548,0.43255,0
3000000,Psychidae,Dryadaulidae,1.55847,4.93644,0.733781,0.587515,0
3100000,Hydroptilidae,Micropterigidae,0,1.68132,0.441102,0.215851,0
3100000,Dryadaulidae,Roeslerstammiidae,1.6362,9.56039,-0.301732,0.108166,0
3200000,Hydroptilidae,Micropterigidae,0,4.34066,-0.126652,0.978405,0
3200000,Agathiphagidae,NA,2.63649,5.8483,0.134011,13.6553,0
3200000,Psychidae,Dryadaulidae,1.6244,9.82408,-0.277521,0.0972625,0
3300000,Hydroptilidae,Micropterigidae,0,2.19495,0.252437,0.487082,0
3300000,Dryadaulidae,Roeslerstammiidae,1.64545,13.3658,-0.658229,0.00340746,0
3400000,Hydroptilidae,Micropterigidae,0,4.30092,-0.810571,0.281551,0
3400000,Hydroptilidae,Hydropsychidae,0.133982,3.62627,0.160298,0.259126,0
3400000,Dryadaulidae,NA,2.00569,46.6186,0.111858,28.8707,0
3400000,Dryadaulidae,NA,2.42882,25.3453,0.228467,38.8767,0
3400000,Meessiidae,Psychidae,1.52547,9.40069,-0.19961,0.0623536,0
3400000,Lophocoronidae,Opostegidae,0.733138,5.6788,-0.251838,1.51962,0
3500000,Hydroptilidae,Micropterigidae,0,1.64891,0.461059,0.0295652,0
3500000,Notodontidae,Erebidae,2.19846,19.7865,-0.0675216,5.9613,0
3500000,Dryadaulidae,Roeslerstammiidae,1.62947,4.80644,0.632652,0.343201,0
3600000,Hydroptilidae,Micropterigidae,0,2.86855,0.0231804,0.394903,0
3600000,Agathiphagidae,NA,2.65057,1.82519,0.0276208,17.3542,0
3600000,Psychidae,Dryadaulidae,1.58398,7.90895,-0.0683645,0.557827,0
3700000,Hydroptilidae,Micropterigidae,0,2.71199,0.080514,0.227467,0
3700000,Dryadaulidae,NA,2.6737,3.48631,-0.392498,13.953,0
3700000,Lophocoronidae,NA,1.88687,4.50787,-0.0126469,3.21106,0
3700000,Gelechiidae,NA,2.89671,12.4154,-0.104618,0.935805,0
3700000,Cimeliidae,NA,2.84831,11.1035,0.481614,18.5376,0
3700000,Psychidae,Dryadaulidae,1.62529,10.0691,-0.387264,0.0499849,0
3800000,Hydroptilidae,Micropterigidae,0,2.30643,0.168024,0.226273,0
3800000,Agathiphagidae,NA,2.72708,19.2301,-0.00315927,32.6525,0
3800000,Eriocraniidae,NA,2.97393,2.68691,0.36697,32.0364,0
3800000,Psychidae,Dryadaulidae,1.62417,5.87437,0.369101,0.22947,0
3900000,Hydroptilidae,Micropterigidae,0,2.5563,0.222926,0.758288,0
3900000,Agathiphagidae,NA,2.51276,4.7332,-0.600545,13.325,0
3900000,Eriocraniidae,NA,3.00492,17.8431,-0.602414,47.3952,0
3900000,Meessiidae,NA,2.99567,39.8987,0.0878786,14.96,0
3900000,Psychidae,Dryadaulidae,1.57745,9.33656,-0.1875,0.85141,0
4000000,Hydroptilidae,Micropterigidae,0,2.67669,0.016701,0.109086,0
4000000,Cimeliidae,NA,2.7887,4.18064,0.227273,6.47674,0
4000000,Roeslerstammiidae,Urodidae,1.78721,7.88221,0.0510185,0.762183,0
4100000,Hydroptilidae,Micropterigidae,0,3.04382,-0.115431,0.137238,0
4100000,Philopotamidae,NA,2.84902,12.5551,-0.161559,16.9466,0
4100000,Psychidae,Dryadaulidae,1.54326,7.68265,-0.0271974,0.00326411,0
4200000,Hydroptilidae,Micropterigidae,0,1.97755,0.401503,0.223167,0
4200000,Philopotamidae,NA,2.9557,12.1413,0.58374,0.739828,0
4200000,Heterobathmiidae,NA,2.36559,0.600121,0.202675,2.97228,0
4200000,Roeslerstammiidae,Urodidae,1.76765,11.1314,-0.380731,0.353684,0
4300000,Hydroptilidae,Micropterigidae,0,6.04966,-0.361509,1.48315,0
4300000,Hydroptilidae,Hydropsychidae,0.284985,4.59271,0.132118,2.09326,0
4300000,Dryadaulidae,NA,2.84079,11.1538,-0.0568452,16.1327,0
4300000,Psychidae,Dryadaulidae,1.60555,11.3084,-0.426732,0.366643,0
4400000,Hydroptilidae,Micropterigidae,0,1.83422,0.535554,0.24902,0
4400000,Roeslerstammiidae,Urodidae,1.7521,10.7818,-0.291331,0.518176,0
4500000,Hydroptilidae,Micropterigidae,0,4.52722,-0.239112,0.0783616,0
4500000,Agathiphagidae,NA,2.78708,5.20352,-0.588424,29.4699,0
4500000,Psychidae,Dryadaulidae,1.58117,10.7925,-0.377428,0.267791,0
4600000,Hydroptilidae,Micropterigidae,0,3.9704,-0.10524,0.809432,0
4600000,Dryadaulidae,NA,2.24985,8.66535,-0.0319122,5.83569,0
4600000,Psychidae,Dryadaulidae,1.60832,9.15279,-0.0742819,1.55668,0
4700000,Hydroptilidae,Micropterigidae,0,1.78023,0.252393,0.0155094,0
4700000,Hydroptilidae,NA,3.01451,29.1855,-0.230085,2.83332,0
4700000,Leptoceridae,NA,2.60149,17.1649,0.257131,14.3416,0
4700000,Palaephatidae,NA,2.31892,10.2791,0.122798,0.509055,0
4700000,Lasiocampidae,NA,2.94879,9.14731,-0.0804989,11.2821,0
4700000,Andesianidae,NA,1.47217,2.01595,-0.000951722,2.63676,0
4700000,Cimeliidae,NA,2.61408,30.624,-0.502328,33.7152,0
4700000,Meessiidae,Psychidae,1.46244,6.45693,0.119521,0.25026,0
4800000,Hydroptilidae,Micropterigidae,0,1.47626,0.391717,0.0264001,0
4800000,Psychidae,Dryadaulidae,1.62293,5.73838,0.314716,0.054804,0
4900000,Hydroptilidae,Micropterigidae,0,1.9185,0.250086,0.122391,0
4900000,Psychidae,Dryadaulidae,1.5373,7.66261,-0.147917,0.0204843,0
5000000,Hydroptilidae,Micropterigidae,0,2.93245,-0.017208,0.273189,0
5000000,Callidulidae,NA,2.77941,6.12873,-0.823708,4.16692,0
5000000,Roeslerstammiidae,Urodidae,1.76135,11.2663,-0.516401,0.512568,0
5100000,Hydroptilidae,Micropterigidae,0,2.30112,0.184646,0.787109,0
5100000,Agathiphagidae,NA,2.6066,5.54088,0.114198,12.0569,0
5100000,Sesiidae,Papilionidae,1.95522,8.13375,-0.11576,0.195092,0
5100000,Psychidae,Dryadaulidae,1.62188,4.94617,0.067313,0.0130423,0
5200000,Hydroptilidae,Micropterigidae,0,2.1746,0.0851044,0.0238023,0
5200000,Psychidae,Dryadaulidae,1.58305,6.20965,0.22324,0.270081,0
5300000,Hydroptilidae,Micropterigidae,0,2.11997,0.112586,0.0146288,0
5300000,Roeslerstammiidae,Urodidae,1.72619,11.2163,-0.420463,0.0390859,0
5400000,Hydroptilidae,Micropterigidae,0,1.6926,0.511409,0.0492388,0
5400000,Psychidae,Dryadaulidae,1.59131,7.10731,0.0268331,0.0627217,0
5500000,Hydroptilidae,Micropterigidae,0,3.27722,-0.175923,0.0201247,0
5500000,Roeslerstammiidae,Urodidae,1.75847,10.9295,-0.568696,0.0163832,0
5600000,Hydroptilidae,Micropterigidae,0,1.97869,0.471818,0.200162,0
5600000,Agathiphagidae,NA,2.28575,8.42143,-0.263268,14.2794,0
5600000,Autostichidae,NA,2.58922,8.80251,0.697449,3.28638,0
5600000,Gelechiidae,NA,2.86357,21.0143,-0.453027,10.5845,0
5600000,Psychidae,Dryadaulidae,1.62523,7.62168,-0.0340595,0.152452,0
5700000,Hydroptilidae,Micropterigidae,0,2.61766,0.0267374,0.0135728,0
5700000,Agathiphagidae,NA,1.37315,1.74052,0.296929,0.70768,0
5700000,Immidae,Sesiidae,1.90876,10.4155,-0.273539,0.370792,0
5700000,Meessiidae,Psychidae,1.47739,7.31876,-0.281389,0.345762,0
5800000,Hydroptilidae,Micropterigidae,0,2.32714,0.0617955,0.00349461,0
5800000,Roeslerstammiidae,Urodidae,1.72757,11.3705,-0.322153,0.633906,0
5900000,Hydroptilidae,Micropterigidae,0,2.42985,0.614781,0.711824,0
5900000,Acanthopteroctetidae,NA,2.40521,14.3189,-0.278793,14.7406,0
5900000,Plutellidae,NA,2.83924,10.4448,-0.0820971,9.32405,0
5900000,Choreutidae,NA,2.65641,4.98956,0.645183,4.62439,0
5900000,Gelechiidae,NA,2.57453,40.8279,-1.1571,21.3519,0
5900000,Roeslerstammiidae,Urodidae,1.74424,9.41675,-0.242114,0.743022,0
5900000,Lophocoronidae,Opostegidae,0.73179,4.11504,-0.230735,0.358432,0
5900000,Micropterigidae,Agathiphagidae,0.06316,2.39558,-0.227624,0.0412963,0
6000000,Hydroptilidae,Micropterigidae,0,2.19728,0.137396,0.0130829,0
6000000,Roeslerstammiidae,Urodidae,1.80422,10.0552,-0.333095,0.486759,0
