wing	axis	character	lm_alpha	lm_beta	p	sig	r2	adj_r2	F
HW	pc2	perimeter_over_area	0.08737523062036277	-0.007342543892400086	0.042330922002871856	*	0.15478036759815084	0.12097158230207687	4.578110873924974
FW	pc2	box_aspect_ratio	2.411066443450742	-0.27816519953885477	0.006070439041837048	**	0.16231771502767833	0.14283673165622898	8.332110958298221
HW	pc2	box_aspect_ratio	1.9224992424127725	-0.21470014082767577	0.013521548166890919	*	0.22026785015079742	0.1890785641568293	7.062292166399596
FW	pc2	aspect_ratio	8.131017555079591	-0.6537546897762229	0.00407249592511938	**	0.17642088817064305	0.15726788556996033	9.211134768203618
FW	pc2	2nd_movement_of_area	0.5797393667408842	-0.0033456077465269587	0.0030133087239304504	**	0.18697079008929662	0.16806313404486167	9.888628693577678
FW	pc3	color_saturation	89.00827847328868	-3.822557065483185	0.08966460263554399	.	0.06551954501075619	0.04378744140635517	3.0148735807373748
HW	pc3	color_saturation	76.59437790687232	-2.0164620811625795	0.5063286278297248		0.017860676402753795	-0.02142489654113605	0.4546370350322615
FW	pc3	color_brightness	130.44343032510287	-7.778719697640921	3.58632320801008e-08	***	0.5102374841781698	0.49884765822882493	44.79765419132828
HW	pc3	color_brightness	132.22458034200852	-9.351480528639199	1.4367938849822867e-06	***	0.6118991924380279	0.596375160135549	39.416253491067536
FW	pc3	color_richness	14.377777777777778	-1.3333333333333333	0.00017950796159891993	***	0.28114017961733695	0.2644225093758797	16.81694731124389
HW	pc3	color_richness	14.74074074074074	-0.6666666666666665	0.165912964998558		0.07533131829807005	0.03834457102999285	2.036711088760372
FW	pc3	color_evenness	0.7029524678325575	-0.003602765900751317	0.593388286831127		0.006684902781608715	-0.016415448316493407	0.28938533242284425
HW	pc3	color_evenness	0.7116688252989005	0.0033379222771078884	0.5526037751012098		0.014288416599848919	-0.025140046736157128	0.3623883710121826
FW	pc3	rgb_red	152.3706689592691	-10.244386850711933	5.623512251043247e-12	***	0.6721974206987964	0.664574104901094	88.17651511975816
HW	pc3	rgb_red	150.39483936904003	-11.46756232864121	5.828486224286263e-10	***	0.7902992827689312	0.7819112540796885	94.21752262035669
FW	pc3	rgb_green	125.37687319030536	-7.220570437151366	4.746223402736505e-07	***	0.4492191662089988	0.4364103096092081	35.070980981732475
HW	pc3	rgb_green	128.03103318268992	-8.836296668777575	1.9682339301834807e-05	***	0.5241149954469102	0.5050795952647866	27.533699866163776
FW	pc3	rgb_blue	98.99385483305254	-4.186034760152295	0.016482738629874615	*	0.12653014907561222	0.10621689672853343	6.228945858283916
HW	pc3	rgb_blue	106.14783138929471	-6.453915619026216	0.007553933766378108	**	0.2525386994999558	0.222640247479954	8.446547645042282
FW	pc3	distinctive_from_wing_base	0.15123648045957422	-0.0040964995041177805	0.17039715792490584		0.04325394411782779	0.021004035841498205	1.9440055024336027
HW	pc3	distinctive_from_wing_base	0.1630629989127007	-0.0020125297623451353	0.5888663767068599		0.011849699648794676	-0.027676312365253537	0.2997949715894204
FW	pc3	perimeter_over_area	0.09149702829948188	0.00742078312436883	0.012206574541403996	*	0.13735114748759347	0.11728954626637472	6.846469829253691
HW	pc3	perimeter_over_area	0.08737523062036277	0.00863009473716001	0.015160912218194298	*	0.21382274348859132	0.18237565322813498	6.799444454721658
FW	pc3	box_aspect_ratio	2.411066443450742	0.11095631207959074	0.2916147631692016		0.02582642870697982	0.003171229374584004	1.1399779948106394
HW	pc3	box_aspect_ratio	1.9224992424127725	0.11150979907804144	0.2204819349648163		0.059417246369825816	0.021793936224618844	1.5792668465508606
FW	pc3	aspect_ratio	8.131017555079591	0.5261920478096678	0.023125927636256077	*	0.11429018358592247	0.09369228087861833	5.548632072399995
FW	pc3	2nd_movement_of_area	0.5797393667408842	-0.00303439283047163	0.007711284392173082	**	0.15380389301596853	0.13412491378378175	7.815643850287127
